"","index","nbr.val","nbr.null","nbr.na","min","max","range","sum","median","mean","SE.mean","CI.mean.0.95","var","std.dev","coef.var","skewness","skew.2SE","kurtosis","kurt.2SE","normtest.W","normtest.p"
"1","X",1461,0,0,1,1461,1460,1067991,731,731,11.04,21.65,177998.5,421.9,0.58,0,0,-1.2,-4.7,0.95,0
"2","hhid",1461,0,0,1,1857,1856,1344720,913,920.41,13.88,27.22,281287.96,530.37,0.58,0.01,0.11,-1.18,-4.6,0.96,0
"3","size_mean",1450,231,11,0,1,1,702.32,0.5,0.48,0.01,0.02,0.11,0.33,0.68,0.16,1.24,-1.04,-4.05,0.9,0
"4","size_sd",1346,1322,115,0,0.52,0.52,6.1,0,0,0,0,0,0.04,8.13,9.2,68.94,91.52,343.34,0.1,0
"5","dynamics_mean",1456,4,5,0,1,1,969.09,0.67,0.67,0.01,0.01,0.05,0.23,0.35,-0.13,-1.04,-0.84,-3.28,0.93,0
"6","dynamics_sd",1352,1330,109,0,0.36,0.36,3.94,0,0,0,0,0,0.03,8.62,9.88,74.27,106.78,401.48,0.09,0
"7","diversity_mean",1461,87,0,0,13,13,4628.36,3,3.17,0.05,0.1,3.85,1.96,0.62,0.83,6.47,0.82,3.21,0.93,0
"8","diversity_sd",1356,1330,105,0,4.74,4.74,42.09,0,0.03,0.01,0.01,0.07,0.26,8.5,10.8,81.24,136.76,514.93,0.1,0
"9","resources_mean",1461,95,0,0,16,16,5889.43,4,4.03,0.07,0.13,6.9,2.63,0.65,0.82,6.38,0.8,3.12,0.94,0
"10","resources_sd",1356,1329,105,0,4.74,4.74,60.98,0,0.04,0.01,0.02,0.13,0.37,8.14,9.29,69.91,91.79,345.61,0.1,0
"11","vllag_sc_mean",1461,0,0,1,5,4,5599.94,4,3.83,0.02,0.04,0.71,0.85,0.22,-1.33,-10.43,2.02,7.91,0.82,0
"12","vllag_sc_sd",1356,1335,105,0,1.52,1.52,11.45,0,0.01,0,0,0.01,0.08,9.27,11.9,89.52,168.76,635.42,0.09,0
"13","ethnicity_sc_mean",1461,0,0,0.08,1,0.92,1042.86,0.83,0.71,0.01,0.01,0.07,0.26,0.36,-1.31,-10.24,0.56,2.17,0.78,0
"14","ethnicity_sc_sd",1356,1333,105,0,0.48,0.48,3.21,0,0,0,0,0,0.02,9.86,13.03,98.03,198.54,747.54,0.08,0
"15","subj_res_mean",1452,0,9,1,5,4,4780.42,3.33,3.29,0.03,0.06,1.26,1.12,0.34,-0.37,-2.84,-0.63,-2.44,0.95,0
"16","subj_res_sd",1347,1320,114,0,2.09,2.09,21.58,0,0.02,0,0.01,0.02,0.13,8.2,9.89,74.18,110.86,416.05,0.1,0
"17","ncme_srcs_mean",1461,4,0,0,9,9,4341.69,3,2.97,0.03,0.06,1.5,1.22,0.41,0.24,1.84,-0.12,-0.47,0.99,0
"18","ncme_srcs_sd",1356,177,105,0,3.6,3.6,1278.15,0.84,0.94,0.02,0.03,0.4,0.63,0.67,0.75,5.64,0.98,3.7,0.95,0
"19","lvstck_wnshp_mean",1457,183,4,0,36.75,36.75,2273.57,0.75,1.56,0.06,0.12,5.6,2.37,1.52,5.28,41.2,53.82,210.02,0.61,0
"20","lvstck_wnshp_sd",1352,1326,109,0,2.53,2.53,16.18,0,0.01,0,0.01,0.02,0.13,10.63,14.7,110.42,245.81,924.18,0.07,0
"21","land_access_mean",1461,36,0,0,1,1,600.21,0.33,0.41,0,0.01,0.04,0.19,0.46,1.43,11.19,2.22,8.68,0.63,0
"22","land_access_sd",1356,1344,105,0,0.35,0.35,2.35,0,0,0,0,0,0.02,10.95,11.88,89.38,155.13,584.1,0.06,0
"23","access_mean",1461,37,0,0,0.72,0.72,258.78,0.16,0.18,0,0.01,0.01,0.12,0.69,1.08,8.41,1.29,5.03,0.92,0
"24","access_sd",1356,1328,105,0,0.19,0.19,1.61,0,0,0,0,0,0.01,9,11.77,88.55,159.08,598.98,0.09,0
"25","fci_mean",1452,0,9,11.5,38,26.5,33472.12,22.25,23.05,0.13,0.26,26.43,5.14,0.22,0.71,5.53,0.21,0.8,0.96,0
"26","fci_sd",1347,1317,114,0,8.62,8.62,85.41,0,0.06,0.01,0.03,0.27,0.52,8.23,10.52,78.9,127.78,479.53,0.1,0
"27","diversity_food_mean",1461,5,0,0,5,5,5046.73,4,3.45,0.02,0.05,0.81,0.9,0.26,-0.54,-4.22,0.53,2.06,0.88,0
"28","diversity_food_sd",1356,1338,105,0,1.58,1.58,14.4,0,0.01,0,0.01,0.01,0.1,9.57,11.26,84.69,140.08,527.45,0.08,0
